,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
343,1627789,Timothe Luwawu-Cabarrot,Hawks,1610612737,ATL
344,1626168,Trey Lyles,Kings,1610612758,SAC
345,1630177,Theo Maledon,Thunder,1610612760,OKC
346,1630572,Sandro Mamukelashvili,Bucks,1610612749,MIL
347,1629611,Terance Mann,Clippers,1610612746,LAC
348,1630544,Tre Mann,Thunder,1610612760,OKC
349,1626246,Boban Marjanovic,Mavericks,1610612742,DAL
350,1628374,Lauri Markkanen,Cavaliers,1610612739,CLE
351,1630230,Naji Marshall,Pelicans,1610612740,NOP
352,1628997,Caleb Martin,Heat,1610612748,MIA
353,1628998,Cody Martin,Hornets,1610612766,CHA
355,1630231,Kenyon Martin Jr.,Rockets,1610612745,HOU
356,1629726,Garrison Mathews,Rockets,1610612745,HOU
358,202083,Wesley Matthews,Bucks,1610612749,MIL
359,1630178,Tyrese Maxey,76ers,1610612755,PHI
360,1630219,Skylar Mays,Hawks,1610612737,ATL
361,1630540,Miles McBride,Knicks,1610612752,NYK
362,1630644,Mac McClung,Lakers,1610612747,LAL
363,203468,CJ McCollum,Pelicans,1610612740,NOP
364,204456,T.J. McConnell,Pacers,1610612754,IND
365,1630183,Jaden McDaniels,Timberwolves,1610612750,MIN
366,1629667,Jalen McDaniels,Hornets,1610612766,CHA
367,203926,Doug McDermott,Spurs,1610612759,SAS
368,201580,JaVale McGee,Suns,1610612756,PHX
370,203585,Rodney McGruder,Pistons,1610612765,DET
373,1629162,Jordan McLaughlin,Timberwolves,1610612750,MIN
374,203463,Ben McLemore,Trail Blazers,1610612757,POR
375,1629001,De'Anthony Melton,Grizzlies,1610612763,MEM
377,1629002,Chimezie Metu,Kings,1610612758,SAC
378,203114,Khris Middleton,Bucks,1610612749,MIL
380,201988,Patty Mills,Nets,1610612751,BKN
381,200794,Paul Millsap,76ers,1610612755,PHI
382,1629003,Shake Milton,76ers,1610612755,PHI
383,1630558,Davion Mitchell,Kings,1610612758,SAC
384,1628378,Donovan Mitchell,Jazz,1610612762,UTA
385,1630596,Evan Mobley,Cavaliers,1610612739,CLE
386,1628370,Malik Monk,Lakers,1610612747,LAL
387,202328,Greg Monroe,Timberwolves,1610612750,MIN
388,1630541,Moses Moody,Warriors,1610612744,GSW
389,1629875,Xavier Moon,Clippers,1610612746,LAC
391,1629630,Ja Morant,Grizzlies,1610612763,MEM
